¬nombre¬1¬2¬rating¬reviews¬price¬ciudad¬comida¬zona¬fecha¬hora¬clave
68¬LA TAQUILLA Urban Food & bar¬4,6(82)¬Parrilla · C. de Rodríguez San Pedro, 44¬4,6¬82¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬LA TAQUILLA Urban Food & bar LA TAQUILLA Urban Food & bar 22-08-2022
69¬Burguer Cafetería¬4,1(45) · €¬Bocadillo · Calle de Covarrubias, 11¬4,1¬45¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Burguer Cafetería Burguer Cafetería 22-08-2022
70¬Alcaravea Gaztambide¬4,6(2.138) · €€¬Mediterránea · C. de Gaztambide, 56¬4,6¬2.138¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Alcaravea Gaztambide Alcaravea Gaztambide 22-08-2022
71¬Perrachica¬3,9(8.115) · €€¬Restaurante · C. Eloy Gonzalo, 10¬3,9¬8.115¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Perrachica Perrachica 22-08-2022
72¬Campogrande La Cuna Del Buey¬4,4(8)¬Restaurante · C. de Vallehermoso, 36¬4,4¬8¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Campogrande La Cuna Del Buey Campogrande La Cuna Del Buey 22-08-2022
73¬Casa Heliberto¬4,0(443) · €€¬Parrilla · C. de Raimundo Fernández Villaverde, 30¬4,0¬443¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Casa Heliberto Casa Heliberto 22-08-2022
74¬Restaurante Toque de sal¬4,0(703) · €€¬Restaurante · C. de Ponzano, 46¬4,0¬703¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Restaurante Toque de sal Restaurante Toque de sal 22-08-2022
75¬Entrepanes 24h¬3,9(771) · €¬Pizza a domicilio · C. de Hilarión Eslava, 32¬3,9¬771¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Entrepanes 24h Entrepanes 24h 22-08-2022
76¬La Fábrica 21¬4,1(1.666) · €€¬Restaurante · Calle de Génova, 21¬4,1¬1.666¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La Fábrica 21 La Fábrica 21 22-08-2022
77¬Restaurante El Sueño¬4,8(371)¬Restaurante · P.º del Gral. Martínez Campos, 4¬4,8¬371¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Restaurante El Sueño Restaurante El Sueño 22-08-2022
78¬Bar Restaurante Ponzano¬3,9(1.240) · €€¬Parrilla · C. de Ponzano, 12¬3,9¬1.240¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Bar Restaurante Ponzano Bar Restaurante Ponzano 22-08-2022
79¬SILK Madrid¬4,1(770) · €€¬Restaurante · P.º del Gral. Martínez Campos, 43¬4,1¬770¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬SILK Madrid SILK Madrid 22-08-2022
80¬Lamucca de Almagro¬4,3(4.043) · €€¬Restaurante de fusión · C. de Almagro, 3¬4,3¬4.043¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Lamucca de Almagro Lamucca de Almagro 22-08-2022
81¬Taberna Alipio Ramos¬4,0(987) · €¬Taberna · C. de Ponzano, 30¬4,0¬987¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Taberna Alipio Ramos Taberna Alipio Ramos 22-08-2022
82¬InMotion Food¬4,1(9)¬Restaurante · Calle de Covarrubias, 38¬4,1¬9¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬InMotion Food InMotion Food 22-08-2022
83¬perretxiCo Chamberí¬4,1(985) · €€¬Restaurante · C. de Rafael Calvo, 29¬4,1¬985¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬perretxiCo Chamberí perretxiCo Chamberí 22-08-2022
84¬La Cabra¬4,3(825) · €€€¬Cocina europea moderna · C. Francisco de Rojas, 2¬4,3¬825¬  €€€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La Cabra La Cabra 22-08-2022
85¬La Rochela¬4,6(1.895) · €€¬Colombiana · Calle del Cardenal Cisneros, 58¬4,6¬1.895¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La Rochela La Rochela 22-08-2022
86¬Mad Grill¬4,5(2.365) · €€¬Hamburguesa · C. de Campoamor, 13¬4,5¬2.365¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Mad Grill Mad Grill 22-08-2022
87¬el bombo¬4,2(347) · €¬Restaurante · C. de Guzmán el Bueno, 73¬4,2¬347¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬el bombo el bombo 22-08-2022
88¬La Tapadera Beer&Burguer¬5,0(3)¬Hamburguesa · C. de Ponzano, 39¬5,0¬3¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La Tapadera Beer&Burguer La Tapadera Beer&Burguer 22-08-2022
89¬Hamburguesería The Original´s Burguer | Cocina Street Lions Food¬5,0(1)¬Hamburguesa · C. de Fernández de los Ríos, 17¬5,0¬1¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Hamburguesería The Original´s Burguer | Cocina Street Lions Food Hamburguesería The Original´s Burguer | Cocina Street Lions Food 22-08-2022
90¬La Penúltima de Chamberi¬4,3(220)¬Parrilla · Calle de Fernández de la Hoz, 53¬4,3¬220¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La Penúltima de Chamberi La Penúltima de Chamberi 22-08-2022
91¬Bendita Burger Chamberí¬4,6(226) · €€¬Hamburguesa · Calle del Cardenal Cisneros, 11¬4,6¬226¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Bendita Burger Chamberí Bendita Burger Chamberí 22-08-2022
92¬La Taberna de Moncloa¬4,4(2.111) · €¬Taberna · C. de Andrés Mellado, 45¬4,4¬2.111¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La Taberna de Moncloa La Taberna de Moncloa 22-08-2022
93¬Narciso¬4,0(392) · €€€¬Restaurante · C. de Almagro, 32¬4,0¬392¬  €€€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Narciso Narciso 22-08-2022
94¬La H Es Muda¬4,3(1.151) · €€¬Hamburguesa · C. de Carranza, 12¬4,3¬1.151¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La H Es Muda La H Es Muda 22-08-2022
95¬Chorneys Bar & Restaurante¬4,6(326)¬Parrilla · C. de Vallehermoso, 86¬4,6¬326¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Chorneys Bar & Restaurante Chorneys Bar & Restaurante 22-08-2022
96¬Bar Mochamoó¬4,4(289)¬Parrilla · C. de Guzmán el Bueno, 57¬4,4¬289¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Bar Mochamoó Bar Mochamoó 22-08-2022
